affy_id	gene
A.200737_at	PGK1
A.200738_s_at	PGK1
A.200739_s_at	SUMO3
A.200740_s_at	SUMO3
A.200741_s_at	RPS27
A.200742_s_at	TPP1
A.200743_s_at	TPP1
A.200744_s_at	GNB1
A.200745_s_at	GNB1
A.200746_s_at	GNB1
A.200747_s_at	NUMA1
A.200748_s_at	FTH1
A.200749_at	RAN
A.200750_s_at	RAN
A.200751_s_at	HNRPC
A.200752_s_at	CAPN1
A.200753_x_at	SFRS2
A.200754_x_at	SFRS2
A.200755_s_at	CALU
A.200756_x_at	CALU
A.200757_s_at	CALU
A.200758_s_at	NFE2L1
A.200759_x_at	NFE2L1
A.200760_s_at	ARL6IP5
A.200761_s_at	ARL6IP5
A.200762_at	DPYSL2
A.200763_s_at	RPLP1
A.200764_s_at	CTNNA1
A.200765_x_at	CTNNA1
A.200766_at	CTSD
A.200767_s_at	FAM120A
A.200768_s_at	MAT2A
A.200769_s_at	MAT2A
A.200770_s_at	LAMC1
A.200771_at	LAMC1
A.200772_x_at	PTMA
A.200773_x_at	LOC643287
A.200774_at	FAM120A
A.200775_s_at	HNRPK
A.200776_s_at	BZW1
A.200777_s_at	BZW1
A.200778_s_at	2-Sep
A.200779_at	ATF4
A.200780_x_at	GNAS
A.200781_s_at	RPS15A
A.200782_at	ANXA5
A.200783_s_at	STMN1
A.200784_s_at	LRP1
A.200785_s_at	LRP1
A.200786_at	PSMB7
A.200787_s_at	PEA15
A.200788_s_at	PEA15
A.200789_at	ECH1
A.200790_at	ODC1
A.200791_s_at	IQGAP1
A.200792_at	XRCC6
A.200793_s_at	ACO2
A.200794_x_at	DAZAP2
A.200795_at	SPARCL1
A.200796_s_at	MCL1
A.200797_s_at	MCL1
A.200798_x_at	MCL1
A.200799_at	HSPA1A
A.200800_s_at	HSPA1A
A.200801_x_at	ACTB
A.200802_at	SARS
A.200803_s_at	TEGT
A.200804_at	TEGT
A.200805_at	LMAN2
A.200806_s_at	HSPD1
A.200807_s_at	HSPD1
A.200808_s_at	ZYX
A.200809_x_at	RPL12
A.200810_s_at	CIRBP
A.200811_at	CIRBP
A.200812_at	CCT7
A.200813_s_at	PAFAH1B1
A.200814_at	PSME1
A.200815_s_at	PAFAH1B1
A.200816_s_at	PAFAH1B1
A.200817_x_at	RPS10
A.200818_at	ATP5O
A.200819_s_at	RPS15
A.200820_at	PSMD8
A.200821_at	LAMP2
A.200822_x_at	TPI1
A.200823_x_at	RPL29
A.200824_at	GSTP1
A.200825_s_at	HYOU1
A.200826_at	SNRPD2
A.200827_at	PLOD1
A.200828_s_at	ZNF207
A.200829_x_at	ZNF207
A.200830_at	PSMD2
A.200831_s_at	SCD
A.200832_s_at	SCD
A.200833_s_at	RAP1B
A.200834_s_at	RPS21
A.200835_s_at	MAP4
A.200836_s_at	MAP4
A.200837_at	BCAP31
A.200838_at	CTSB
A.200839_s_at	CTSB
A.200840_at	KARS
A.200841_s_at	EPRS
A.200842_s_at	EPRS
A.200843_s_at	EPRS
A.200844_s_at	PRDX6
A.200845_s_at	PRDX6
A.200846_s_at	PPP1CA
A.200847_s_at	TMEM66
A.200848_at	AHCYL1
A.200849_s_at	AHCYL1
A.200850_s_at	AHCYL1
A.200851_s_at	KIAA0174
A.200852_x_at	GNB2
A.200853_at	H2AFZ
A.200854_at	NCOR1
A.200855_at	C20orf191
A.200856_x_at	C20orf191
A.200857_s_at	NCOR1
A.200858_s_at	RPS8
A.200859_x_at	FLNA
A.200860_s_at	CNOT1
A.200861_at	CNOT1
A.200862_at	DHCR24
A.200863_s_at	RAB11A
A.200864_s_at	RAB11A
A.200865_at	--
A.200866_s_at	PSAP
A.200867_at	ZNF313
A.200868_s_at	ZNF313
A.200869_at	LOC390354
A.200870_at	STRAP
A.200871_s_at	PSAP
A.200872_at	S100A10
A.200873_s_at	CCT8
A.200874_s_at	NOL5A
A.200875_s_at	NOL5A
A.200876_s_at	PSMB1
A.200877_at	CCT4
A.200878_at	EPAS1
A.200879_s_at	EPAS1
A.200880_at	DNAJA1
A.200881_s_at	DNAJA1
A.200882_s_at	PSMD4
A.200883_at	UQCRC2
A.200884_at	CKB
A.200885_at	RHOC
A.200886_s_at	hCG_2015138
A.200887_s_at	STAT1
A.200888_s_at	RPL23
A.200889_s_at	SSR1
A.200890_s_at	SSR1
A.200891_s_at	SSR1
A.200892_s_at	SFRS10
A.200893_at	SFRS10
A.200894_s_at	FKBP4
A.200895_s_at	FKBP4
A.200896_x_at	HDGF
A.200897_s_at	PALLD
A.200898_s_at	MGEA5
A.200899_s_at	MGEA5
A.200900_s_at	M6PR
A.200901_s_at	M6PR
A.200902_at	15-Sep
A.200903_s_at	AHCY
A.200904_at	HLA-E
A.200905_x_at	HLA-E
A.200906_s_at	PALLD
A.200907_s_at	PALLD
A.200908_s_at	RPLP2
A.200909_s_at	RPLP2
A.200910_at	CCT3
A.200911_s_at	TACC1
A.200912_s_at	EIF4A2
A.200913_at	PPM1G
A.200914_x_at	KTN1
A.200915_x_at	KTN1
A.200916_at	TAGLN2
A.200917_s_at	SRPR
A.200918_s_at	SRPR
A.200919_at	PHC2
A.200920_s_at	BTG1
A.200921_s_at	BTG1
A.200922_at	KDELR1
A.200923_at	LGALS3BP
A.200924_s_at	SLC3A2
A.200925_at	COX6A1
A.200926_at	RPS23
A.200927_s_at	RAB14
A.200928_s_at	RAB14
A.200929_at	TMED10
A.200930_s_at	VCL
A.200931_s_at	VCL
A.200932_s_at	DCTN2
A.200933_x_at	RPS4X
A.200934_at	DEK
A.200935_at	CALR
A.200936_at	RPL8
A.200937_s_at	RPL5
A.200938_s_at	RERE
A.200939_s_at	RERE
A.200940_s_at	RERE
A.200941_at	HSBP1
A.200942_s_at	HSBP1
A.200943_at	HMGN1
A.200944_s_at	HMGN1
A.200945_s_at	SEC31A
A.200946_x_at	GLUD1
A.200947_s_at	GLUD1
A.200948_at	MLF2
A.200949_x_at	RPS20
A.200950_at	ARPC1A
A.200951_s_at	CCND2
A.200952_s_at	CCND2
A.200953_s_at	CCND2
A.200954_at	ATP6V0C
A.200955_at	IMMT
A.200956_s_at	SSRP1
A.200957_s_at	SSRP1
A.200958_s_at	SDCBP
A.200959_at	FUS
A.200960_x_at	CLTA
A.200961_at	SEPHS2
A.200962_at	LOC285260
A.200963_x_at	RPL31
A.200964_at	UBE1
A.200965_s_at	ABLIM1
A.200966_x_at	ALDOA
A.200967_at	PPIB
A.200968_s_at	PPIB
A.200969_at	SERP1
A.200970_s_at	SERP1
A.200971_s_at	SERP1
A.200972_at	TSPAN3
A.200973_s_at	TSPAN3
A.200974_at	ACTA2
A.200975_at	PPT1
A.200976_s_at	TAX1BP1
A.200977_s_at	TAX1BP1
A.200978_at	MDH1
A.200979_at	MAP3K15
A.200980_s_at	PDHA1
A.200981_x_at	GNAS
A.200982_s_at	ANXA6
A.200983_x_at	CD59
A.200984_s_at	CD59
A.200985_s_at	CD59
A.200986_at	SERPING1
A.200987_x_at	PSME3
A.200988_s_at	PSME3
A.200989_at	HIF1A
A.200990_at	TRIM28
A.200991_s_at	SNX17
A.200992_at	IPO7
A.200993_at	IPO7
A.200994_at	IPO7
A.200995_at	IPO7
A.200996_at	ACTR3
A.200997_at	RBM4
A.200998_s_at	CKAP4
A.200999_s_at	CKAP4
A.201000_at	AARS
A.201001_s_at	Kua-UEV
A.201002_s_at	Kua-UEV
A.201003_x_at	Kua
A.201004_at	SSR4
A.201005_at	CD9
A.201006_at	PRDX2
A.201007_at	HADHB
A.201008_s_at	TXNIP
A.201009_s_at	TXNIP
A.201010_s_at	TXNIP
A.201011_at	RPN1
A.201012_at	ANXA1
A.201013_s_at	PAICS
A.201014_s_at	PAICS
A.201015_s_at	JUP
A.201016_at	EIF1AX
A.201017_at	EIF1AX
A.201018_at	EIF1AX
A.201019_s_at	EIF1AP1
A.201020_at	YWHAH
A.201021_s_at	DSTN
A.201022_s_at	DSTN
A.201023_at	TAF7
A.201024_x_at	EIF5B
A.201025_at	EIF5B
A.201026_at	EIF5B
A.201027_s_at	EIF5B
A.201028_s_at	CD99
A.201029_s_at	CD99
A.201030_x_at	LDHB
A.201031_s_at	HNRPH1
A.201032_at	BLCAP
A.201033_x_at	RPLP0
A.201034_at	ADD3
A.201035_s_at	HADH
A.201036_s_at	HADH
A.201037_at	PFKP
A.201038_s_at	ANP32A
A.201039_s_at	RAD23A
A.201040_at	GNAI2
A.201041_s_at	DUSP1
A.201042_at	TGM2
A.201043_s_at	ANP32A
A.201044_x_at	DUSP1
A.201045_s_at	RAB6A
A.201046_s_at	RAD23A
A.201047_x_at	RAB6A
A.201048_x_at	RAB6A
A.201049_s_at	RPS18
A.201050_at	PLD3
A.201051_at	ANP32A
A.201052_s_at	PSMF1
A.201053_s_at	PSMF1
A.201054_at	HNRPA0
A.201055_s_at	HNRPA0
A.201056_at	GOLGB1
A.201057_s_at	GOLGB1
A.201058_s_at	MYL9
A.201059_at	CTTN
A.201060_x_at	STOM
A.201061_s_at	STOM
A.201062_at	STOM
A.201063_at	RCN1
A.201064_s_at	PABPC4
A.201065_s_at	GTF2I
A.201066_at	CYC1
A.201067_at	--
A.201068_s_at	PSMC2
A.201069_at	MMP2
A.201070_x_at	SF3B1
A.201071_x_at	SF3B1
A.201072_s_at	SMARCC1
A.201073_s_at	SMARCC1
A.201074_at	SMARCC1
A.201075_s_at	SMARCC1
A.201076_at	NHP2L1
A.201077_s_at	NHP2L1
A.201078_at	TM9SF2
A.201079_at	SYNGR2
A.201080_at	PIP5K2B
A.201081_s_at	PIP5K2B
A.201082_s_at	DCTN1
A.201083_s_at	BCLAF1
A.201084_s_at	BCLAF1
A.201085_s_at	SON
A.201086_x_at	SON
A.201087_at	PXN
A.201088_at	KPNA2
A.201089_at	ATP6V1B2
A.201090_x_at	TUBA1B
A.201091_s_at	CBX3
A.201092_at	RBBP7
A.201093_x_at	SDHA
A.201094_at	RPS29
A.201095_at	DAP
A.201096_s_at	ARF4
A.201097_s_at	ARF4
A.201098_at	COPB2
A.201099_at	USP9X
A.201100_s_at	USP9X
A.201101_s_at	BCLAF1
A.201102_s_at	PFKL
A.201103_x_at	LOC728936
A.201104_x_at	LOC728936
A.201105_at	LGALS1
A.201106_at	GPX4
A.201107_s_at	THBS1
A.201108_s_at	THBS1
A.201109_s_at	THBS1
A.201110_s_at	THBS1
A.201111_at	CSE1L
A.201112_s_at	CSE1L
A.201113_at	TUFM
A.201114_x_at	PSMA7
A.201115_at	POLD2
A.201116_s_at	CPE
A.201117_s_at	CPE
A.201118_at	PGD
A.201119_s_at	COX8A
A.201120_s_at	PGRMC1
A.201121_s_at	PGRMC1
A.201122_x_at	EIF5A
A.201123_s_at	EIF5A
A.201124_at	ITGB5
A.201125_s_at	ITGB5
A.201126_s_at	MGAT1
A.201127_s_at	ACLY
A.201128_s_at	ACLY
A.201129_at	SFRS7
A.201130_s_at	CDH1
A.201131_s_at	CDH1
A.201132_at	HNRPH2
A.201133_s_at	PJA2
A.201134_x_at	COX7C
A.201135_at	ECHS1
A.201136_at	PLP2
A.201137_s_at	HLA-DPB1
A.201138_s_at	SSB
A.201139_s_at	SSB
A.201140_s_at	RAB5C
A.201141_at	GPNMB
A.201142_at	EIF2S1
A.201143_s_at	EIF2S1
A.201144_s_at	EIF2S1
A.201145_at	HAX1
A.201146_at	NFE2L2
A.201147_s_at	TIMP3
A.201148_s_at	TIMP3
A.201149_s_at	TIMP3
A.201150_s_at	TIMP3
A.201151_s_at	MBNL1
A.201152_s_at	MBNL1
A.201153_s_at	MBNL1
A.201154_x_at	RPL4
A.201155_s_at	MFN2
A.201156_s_at	RAB5C
A.201157_s_at	NMT1
A.201158_at	NMT1
A.201159_s_at	NMT1
A.201160_s_at	CSDA
A.201161_s_at	CSDA
A.201162_at	IGFBP7
A.201163_s_at	IGFBP7
A.201164_s_at	PUM1
A.201165_s_at	PUM1
A.201166_s_at	PUM1
A.201167_x_at	ARHGDIA
A.201168_x_at	ARHGDIA
A.201169_s_at	BHLHB2
A.201170_s_at	BHLHB2
A.201171_at	ATP6V0E1
A.201172_x_at	ATP6V0E1
A.201173_x_at	NUDC
A.201174_s_at	TERF2IP
A.201175_at	TXNDC14
A.201176_s_at	ARCN1
A.201177_s_at	SAE2
A.201178_at	FBXO7
A.201179_s_at	GNAI3
A.201180_s_at	GNAI3
A.201181_at	GNAI3
A.201182_s_at	CHD4
A.201183_s_at	CHD4
A.201184_s_at	CHD4
A.201185_at	HTRA1
A.201186_at	LRPAP1
A.201187_s_at	ITPR3
A.201188_s_at	ITPR3
A.201189_s_at	ITPR3
A.201190_s_at	PITPNA
A.201191_at	PITPNA
A.201192_s_at	PITPNA
A.201193_at	IDH1
A.201194_at	SEPW1
A.201195_s_at	SLC7A5
A.201196_s_at	AMD1
A.201197_at	AMD1
A.201198_s_at	PSMD1
A.201199_s_at	PSMD1
A.201200_at	CREG1
A.201201_at	CSTB
A.201202_at	PCNA
A.201203_s_at	RRBP1
A.201204_s_at	RRBP1
A.201205_at	--
A.201206_s_at	RRBP1
A.201207_at	TNFAIP1
A.201208_s_at	TNFAIP1
A.201209_at	HDAC1
A.201210_at	DDX3X
A.201211_s_at	DDX3X
A.201212_at	LGMN
A.201213_at	PPP1R7
A.201214_s_at	PPP1R7
A.201215_at	PLS3
A.201216_at	ERP29
A.201217_x_at	RPL3
A.201218_at	CTBP2
A.201219_at	CTBP2
A.201220_x_at	CTBP2
A.201221_s_at	SNRP70
A.201222_s_at	RAD23B
A.201223_s_at	RAD23B
A.201224_s_at	SRRM1
A.201225_s_at	SRRM1
A.201226_at	NDUFB8
A.201227_s_at	NDUFB8
A.201228_s_at	ARIH2
A.201229_s_at	ARIH2
A.201230_s_at	ARIH2
A.201231_s_at	ENO1
A.201232_s_at	PSMD13
A.201233_at	PSMD13
A.201234_at	ILK
A.201235_s_at	BTG2
A.201236_s_at	BTG2
A.201237_at	CAPZA2
A.201238_s_at	CAPZA2
A.201239_s_at	LOC653566
A.201240_s_at	SPCS2
A.201241_at	DDX1
A.201242_s_at	ATP1B1
A.201243_s_at	ATP1B1
A.201244_s_at	RAF1
A.201245_s_at	OTUB1
A.201246_s_at	OTUB1
A.201247_at	--
A.201248_s_at	SREBF2
A.201249_at	SLC2A1
A.201250_s_at	SLC2A1
A.201251_at	PKM2
A.201252_at	LOC652826
A.201253_s_at	CDIPT
A.201254_x_at	RPS6
A.201255_x_at	BAT3
A.201256_at	COX7A2L
A.201257_x_at	RPS3A
A.201258_at	RPS16
A.201259_s_at	SYPL1
A.201260_s_at	SYPL1
A.201261_x_at	BGN
A.201262_s_at	BGN
A.201263_at	TARS
A.201264_at	COPE
A.201265_at	--
A.201266_at	TXNRD1
A.201267_s_at	PSMC3
A.201268_at	NME1-NME2
A.201269_s_at	NUDCD3
A.201270_x_at	NUDCD3
A.201271_s_at	RALY
A.201272_at	AKR1B1
A.201273_s_at	SRP9
A.201274_at	PSMA5
A.201275_at	FDPS
A.201276_at	RAB5B
A.201277_s_at	HNRPAB
A.201278_at	DAB2
A.201279_s_at	DAB2
A.201280_s_at	DAB2
A.201281_at	ADRM1
A.201282_at	OGDH
A.201283_s_at	TRAK1
A.201284_s_at	APEH
A.201285_at	MKRN1
A.201286_at	SDC1
A.201287_s_at	SDC1
A.201288_at	ARHGDIB
A.201289_at	CYR61
A.201290_at	SEC11A
A.201291_s_at	TOP2A
A.201292_at	TOP2A
A.201293_x_at	PPIA
A.201294_s_at	WSB1
A.201295_s_at	--
A.201296_s_at	WSB1
A.201297_s_at	MOBK1B
A.201298_s_at	MOBK1B
A.201299_s_at	MOBK1B
A.201300_s_at	PRNP
A.201301_s_at	ANXA4
A.201302_at	ANXA4
A.201303_at	EIF4A3
A.201304_at	NDUFA5
A.201305_x_at	ANP32B
A.201306_s_at	ANP32B
A.201307_at	11-Sep
A.201308_s_at	11-Sep
A.201309_x_at	C5orf13
A.201310_s_at	C5orf13
A.201311_s_at	SH3BGRL
A.201312_s_at	SH3BGRL
A.201313_at	ENO2
A.201314_at	STK25
A.201315_x_at	IFITM2
A.201316_at	PSMA2
A.201317_s_at	PSMA2
A.201318_s_at	MRCL3
A.201319_at	LOC645094
A.201320_at	SMARCC2
A.201321_s_at	SMARCC2
A.201322_at	ATP5B
A.201323_at	EBNA1BP2
A.201324_at	EMP1
A.201325_s_at	EMP1
A.201326_at	CCT6A
A.201327_s_at	CCT6A
A.201328_at	ETS2
A.201329_s_at	ETS2
A.201330_at	RARS
A.201331_s_at	STAT6
A.201332_s_at	STAT6
A.201333_s_at	ARHGEF12
A.201334_s_at	ARHGEF12
A.201335_s_at	ARHGEF12
A.201336_at	VAMP3
A.201337_s_at	VAMP3
A.201338_x_at	GTF3A
A.201339_s_at	SCP2
A.201340_s_at	ENC1
A.201341_at	ENC1
A.201342_at	SNRPC
A.201343_at	UBE2D2
A.201344_at	UBE2D2
A.201345_s_at	UBE2D2
A.201346_at	ADIPOR2
A.201347_x_at	GRHPR
A.201348_at	GPX3
A.201349_at	SLC9A3R1
A.201350_at	FLOT2
A.201351_s_at	YME1L1
A.201352_at	YME1L1
A.201353_s_at	BAZ2A
A.201354_s_at	BAZ2A
A.201355_s_at	BAZ2A
A.201356_at	SF3A1
A.201357_s_at	SF3A1
A.201358_s_at	COPB1
A.201359_at	COPB1
A.201360_at	CST3
A.201361_at	TMEM109
A.201362_at	IVNS1ABP
A.201363_s_at	IVNS1ABP
A.201364_s_at	OAZ2
A.201365_at	OAZ2
A.201366_at	ANXA7
A.201367_s_at	ZFP36L2
A.201368_at	ZFP36L2
A.201369_s_at	ZFP36L2
A.201370_s_at	CUL3
A.201371_s_at	CUL3
A.201372_s_at	CUL3
A.201373_at	PLEC1
A.201374_x_at	PPP2CB
A.201375_s_at	PPP2CB
A.201376_s_at	HNRPF
A.201377_at	UBAP2L
A.201378_s_at	UBAP2L
A.201379_s_at	TPD52L2
A.201380_at	CRTAP
A.201381_x_at	CACYBP
A.201382_at	CACYBP
A.201383_s_at	LOC727732
A.201384_s_at	LOC727732
A.201385_at	DHX15
A.201386_s_at	DHX15
A.201387_s_at	UCHL1
A.201388_at	PSMD3
A.201389_at	ITGA5
A.201390_s_at	CSNK2B
A.201391_at	TRAP1
A.201392_s_at	IGF2R
A.201393_s_at	IGF2R
A.201394_s_at	RBM5
A.201395_at	RBM5
A.201396_s_at	SGTA
A.201397_at	PHGDH
A.201398_s_at	TRAM1
A.201399_s_at	TRAM1
A.201400_at	PSMB3
A.201401_s_at	ADRBK1
A.201402_at	ADRBK1
A.201403_s_at	MGST3
A.201404_x_at	PSMB2
A.201405_s_at	COPS6
A.201406_at	LOC729362
A.201407_s_at	PPP1CB
A.201408_at	PPP1CB
A.201409_s_at	PPP1CB
A.201410_at	--
A.201411_s_at	PLEKHB2
A.201412_at	LRP10
A.201413_at	HSD17B4
A.201414_s_at	NAP1L4
A.201415_at	GSS
A.201416_at	SOX4
A.201417_at	SOX4
A.201418_s_at	SOX4
A.201419_at	BAP1
A.201420_s_at	WDR77
A.201421_s_at	WDR77
A.201422_at	IFI30
A.201423_s_at	CUL4A
A.201424_s_at	CUL4A
A.201425_at	ALDH2
A.201426_s_at	VIM
A.201427_s_at	SEPP1
A.201428_at	CLDN4
A.201429_s_at	PLK1
A.201430_s_at	DPYSL3
A.201431_s_at	DPYSL3
A.201432_at	CAT
A.201433_s_at	PTDSS1
A.201434_at	TTC1
A.201435_s_at	EIF4E
A.201436_at	EIF4E
A.201437_s_at	EIF4E
A.201438_at	COL6A3
A.201439_at	GBF1
A.201440_at	DDX23
A.201441_at	COX6B1
A.201442_s_at	ATP6AP2
A.201443_s_at	ATP6AP2
A.201444_s_at	ATP6AP2
A.201445_at	CNN3
A.201446_s_at	TIA1
A.201447_at	TIA1
A.201448_at	TIA1
A.201449_at	TIA1
A.201450_s_at	TIA1
A.201451_x_at	RHEB
A.201452_at	RHEB
A.201453_x_at	RHEB
A.201454_s_at	NPEPPS
A.201455_s_at	NPEPPS
A.201456_s_at	BUB3
A.201457_x_at	BUB3
A.201458_s_at	BUB3
A.201459_at	RUVBL2
A.201460_at	MAPKAPK2
A.201461_s_at	MAPKAPK2
A.201462_at	SCRN1
A.201463_s_at	TALDO1
A.201464_x_at	JUN
A.201465_s_at	JUN
A.201466_s_at	JUN
A.201467_s_at	NQO1
A.201468_s_at	NQO1
A.201469_s_at	SHC1
A.201470_at	GSTO1
A.201471_s_at	SQSTM1
A.201472_at	VBP1
A.201473_at	JUNB
A.201474_s_at	ITGA3
